population,population_definition,denominator_n,code,label,positive_records_n,source_groups_with_positive_records_n,top_source,top_source_positive_records_n,top_source_share,top_three_source_share,source_hhi,full_rank_by_record_count
full_screened,All combined records evaluated by the deterministic screen,999,bank_drop_sale,Bank drop sale or bank-drop infrastructure,121,14,10. Tor Shop,32,0.264463,0.53719,0.138993,5
full_screened,All combined records evaluated by the deterministic screen,999,bank_log_sale,Compromised bank log sale or discussion,182,15,10. Tor Shop,29,0.159341,0.472527,0.110675,1
full_screened,All combined records evaluated by the deterministic screen,999,cashout_laundering_service,Cash-out or laundering service,120,12,5. CardPro,32,0.266667,0.55,0.143611,6
full_screened,All combined records evaluated by the deterministic screen,999,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,127,15,4. Caders Heven,24,0.188976,0.425197,0.102238,4
full_screened,All combined records evaluated by the deterministic screen,999,email_access_takeover,Email-access-enabled account takeover,64,12,7. Meta Banklogs,21,0.328125,0.578125,0.161621,10
full_screened,All combined records evaluated by the deterministic screen,999,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",134,13,6. The X Wave Market,41,0.30597,0.619403,0.179996,2
full_screened,All combined records evaluated by the deterministic screen,999,fullz_identity_package,Fullz or identity package,128,12,10. Tor Shop,24,0.1875,0.492188,0.120361,3
full_screened,All combined records evaluated by the deterministic screen,999,jurisdiction_localisation,Jurisdiction-specific bank or account reference,120,12,7. Meta Banklogs,36,0.3,0.55,0.157222,7
full_screened,All combined records evaluated by the deterministic screen,999,mule_recruitment,Mule recruitment or account-holder solicitation,10,5,2. Altenen,3,0.3,0.8,0.24,11
full_screened,All combined records evaluated by the deterministic screen,999,telegram_off_platform,Telegram or private-channel coordination reference,87,9,5. CardPro,22,0.252874,0.689655,0.188532,9
full_screened,All combined records evaluated by the deterministic screen,999,tutorial_training_recruitment,"Tutorial, guide, or training content",107,14,3. Pitch,20,0.186916,0.523364,0.122543,8
full_screened,All combined records evaluated by the deterministic screen,999,vulnerable_group_exploitation,Vulnerable group or migrant/student exploitation,1,1,(no_source),1,1.0,1.0,1.0,12
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,479,bank_drop_sale,Bank drop sale or bank-drop infrastructure,121,14,10. Tor Shop,32,0.264463,0.53719,0.138993,5
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,479,bank_log_sale,Compromised bank log sale or discussion,181,15,10. Tor Shop,29,0.160221,0.469613,0.110161,1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,479,cashout_laundering_service,Cash-out or laundering service,120,12,5. CardPro,32,0.266667,0.55,0.143611,6
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,479,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,127,15,4. Caders Heven,24,0.188976,0.425197,0.102238,4
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,479,email_access_takeover,Email-access-enabled account takeover,64,12,7. Meta Banklogs,21,0.328125,0.578125,0.161621,10
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,479,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",133,13,6. The X Wave Market,41,0.308271,0.62406,0.180508,2
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,479,fullz_identity_package,Fullz or identity package,128,12,10. Tor Shop,24,0.1875,0.492188,0.120361,3
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,479,jurisdiction_localisation,Jurisdiction-specific bank or account reference,119,12,7. Meta Banklogs,35,0.294118,0.546218,0.154862,7
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,479,mule_recruitment,Mule recruitment or account-holder solicitation,10,5,2. Altenen,3,0.3,0.8,0.24,11
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,479,telegram_off_platform,Telegram or private-channel coordination reference,86,9,5. CardPro,22,0.255814,0.686047,0.187669,9
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,479,tutorial_training_recruitment,"Tutorial, guide, or training content",107,14,3. Pitch,20,0.186916,0.523364,0.122543,8
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,479,vulnerable_group_exploitation,Vulnerable group or migrant/student exploitation,1,1,(no_source),1,1.0,1.0,1.0,12
