population,population_definition,denominator_n,code_a,label_a,code_b,label_b,code_a_present_n,code_b_present_n,n11_both_present,n10_a_only,n01_b_only,n00_neither,jaccard,lift
full_screened,All combined records evaluated by the deterministic screen,980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,bank_log_sale,Compromised bank log sale or discussion,116,178,76,40,102,762,0.348624,3.607129
full_screened,All combined records evaluated by the deterministic screen,980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,cashout_laundering_service,Cash-out or laundering service,116,118,31,85,87,777,0.152709,2.219462
full_screened,All combined records evaluated by the deterministic screen,980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,116,126,38,78,88,776,0.186275,2.547893
full_screened,All combined records evaluated by the deterministic screen,980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,email_access_takeover,Email-access-enabled account takeover,116,62,28,88,34,830,0.186667,3.81535
full_screened,All combined records evaluated by the deterministic screen,980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",116,121,33,83,88,776,0.161765,2.304075
full_screened,All combined records evaluated by the deterministic screen,980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,fullz_identity_package,Fullz or identity package,116,124,60,56,64,800,0.333333,4.087875
full_screened,All combined records evaluated by the deterministic screen,980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,jurisdiction_localisation,Jurisdiction-specific bank or account reference,116,117,62,54,55,809,0.362573,4.476864
full_screened,All combined records evaluated by the deterministic screen,980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,mule_recruitment,Mule recruitment or account-holder solicitation,116,9,4,112,5,859,0.033058,3.754789
full_screened,All combined records evaluated by the deterministic screen,980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,telegram_off_platform,Telegram or private-channel coordination reference,116,82,13,103,69,795,0.07027,1.339361
full_screened,All combined records evaluated by the deterministic screen,980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,tutorial_training_recruitment,"Tutorial, guide, or training content",116,104,38,78,66,798,0.208791,3.08687
full_screened,All combined records evaluated by the deterministic screen,980,bank_log_sale,Compromised bank log sale or discussion,cashout_laundering_service,Cash-out or laundering service,178,118,66,112,52,750,0.286957,3.079413
full_screened,All combined records evaluated by the deterministic screen,980,bank_log_sale,Compromised bank log sale or discussion,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,178,126,77,101,49,753,0.339207,3.364544
full_screened,All combined records evaluated by the deterministic screen,980,bank_log_sale,Compromised bank log sale or discussion,email_access_takeover,Email-access-enabled account takeover,178,62,53,125,9,793,0.283422,4.706415
full_screened,All combined records evaluated by the deterministic screen,980,bank_log_sale,Compromised bank log sale or discussion,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",178,121,48,130,73,729,0.191235,2.184047
full_screened,All combined records evaluated by the deterministic screen,980,bank_log_sale,Compromised bank log sale or discussion,fullz_identity_package,Fullz or identity package,178,124,60,118,64,738,0.247934,2.664009
full_screened,All combined records evaluated by the deterministic screen,980,bank_log_sale,Compromised bank log sale or discussion,jurisdiction_localisation,Jurisdiction-specific bank or account reference,178,117,74,104,43,759,0.334842,3.482186
full_screened,All combined records evaluated by the deterministic screen,980,bank_log_sale,Compromised bank log sale or discussion,mule_recruitment,Mule recruitment or account-holder solicitation,178,9,7,171,2,800,0.038889,4.282147
full_screened,All combined records evaluated by the deterministic screen,980,bank_log_sale,Compromised bank log sale or discussion,telegram_off_platform,Telegram or private-channel coordination reference,178,82,24,154,58,744,0.101695,1.6114
full_screened,All combined records evaluated by the deterministic screen,980,bank_log_sale,Compromised bank log sale or discussion,tutorial_training_recruitment,"Tutorial, guide, or training content",178,104,62,116,42,760,0.281818,3.282195
full_screened,All combined records evaluated by the deterministic screen,980,cashout_laundering_service,Cash-out or laundering service,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,118,126,59,59,67,795,0.318919,3.888889
full_screened,All combined records evaluated by the deterministic screen,980,cashout_laundering_service,Cash-out or laundering service,email_access_takeover,Email-access-enabled account takeover,118,62,15,103,47,815,0.090909,2.009295
full_screened,All combined records evaluated by the deterministic screen,980,cashout_laundering_service,Cash-out or laundering service,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",118,121,32,86,89,773,0.154589,2.196386
full_screened,All combined records evaluated by the deterministic screen,980,cashout_laundering_service,Cash-out or laundering service,fullz_identity_package,Fullz or identity package,118,124,34,84,90,772,0.163462,2.277201
full_screened,All combined records evaluated by the deterministic screen,980,cashout_laundering_service,Cash-out or laundering service,jurisdiction_localisation,Jurisdiction-specific bank or account reference,118,117,33,85,84,778,0.163366,2.34246
