population,population_definition,source,source_denominator_n,code_a,label_a,code_b,label_b,n11_both_present,n10_a_only,n01_b_only,n00_neither,jaccard,lift
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,bank_drop_sale,Bank drop sale or bank-drop infrastructure,bank_log_sale,Compromised bank log sale or discussion,11,8,4,46,0.478261,2.663158
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,bank_drop_sale,Bank drop sale or bank-drop infrastructure,cashout_laundering_service,Cash-out or laundering service,4,15,6,44,0.16,1.452632
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,bank_drop_sale,Bank drop sale or bank-drop infrastructure,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,6,13,4,46,0.26087,2.178947
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,bank_drop_sale,Bank drop sale or bank-drop infrastructure,email_access_takeover,Email-access-enabled account takeover,3,16,0,50,0.157895,3.631579
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,bank_drop_sale,Bank drop sale or bank-drop infrastructure,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",8,11,14,36,0.242424,1.320574
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,bank_drop_sale,Bank drop sale or bank-drop infrastructure,fullz_identity_package,Fullz or identity package,3,16,8,42,0.111111,0.990431
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,bank_drop_sale,Bank drop sale or bank-drop infrastructure,jurisdiction_localisation,Jurisdiction-specific bank or account reference,14,5,3,47,0.636364,2.990712
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,bank_drop_sale,Bank drop sale or bank-drop infrastructure,mule_recruitment,Mule recruitment or account-holder solicitation,1,18,1,49,0.05,1.815789
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,bank_drop_sale,Bank drop sale or bank-drop infrastructure,telegram_off_platform,Telegram or private-channel coordination reference,2,17,11,39,0.066667,0.558704
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,bank_drop_sale,Bank drop sale or bank-drop infrastructure,tutorial_training_recruitment,"Tutorial, guide, or training content",8,11,9,41,0.285714,1.708978
