population,population_definition,removed_source,remaining_denominator_n,code_a,label_a,code_b,label_b,n11_both_present,n10_a_only,n01_b_only,n00_neither,jaccard,lift,full_population_n11,n11_difference,full_population_jaccard,jaccard_difference,full_population_lift,lift_difference
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,bank_log_sale,Compromised bank log sale or discussion,76,40,102,762,0.348624,3.607129,80,-4,0.358744,-0.01012,3.629098,-0.021969
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,cashout_laundering_service,Cash-out or laundering service,31,85,87,777,0.152709,2.219462,33,-2,0.158654,-0.005945,2.270455,-0.050993
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,38,78,88,776,0.186275,2.547893,39,-1,0.186603,-0.000328,2.535368,0.012525
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,email_access_takeover,Email-access-enabled account takeover,28,88,34,830,0.186667,3.81535,30,-2,0.193548,-0.006881,3.870093,-0.054743
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",33,83,99,765,0.153488,2.112069,35,-2,0.159091,-0.005603,2.15647,-0.044401
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,fullz_identity_package,Fullz or identity package,60,56,64,800,0.333333,4.087875,63,-3,0.33871,-0.005377,4.063598,0.024277
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,jurisdiction_localisation,Jurisdiction-specific bank or account reference,62,54,55,809,0.362573,4.476864,64,-2,0.361582,0.000991,4.403306,0.073558
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,mule_recruitment,Mule recruitment or account-holder solicitation,4,112,5,859,0.033058,3.754789,4,0,0.031496,0.001562,3.302479,0.45231
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,telegram_off_platform,Telegram or private-channel coordination reference,13,103,69,795,0.07027,1.339361,16,-3,0.083333,-0.013063,1.518381,-0.17902
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,tutorial_training_recruitment,"Tutorial, guide, or training content",38,78,66,798,0.208791,3.08687,41,-3,0.219251,-0.01046,3.16359,-0.07672
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_drop_sale,Bank drop sale or bank-drop infrastructure,vulnerable_group_exploitation,Vulnerable group or migrant/student exploitation,0,116,0,864,0.0,0.0,0,0,0.0,0.0,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_log_sale,Compromised bank log sale or discussion,cashout_laundering_service,Cash-out or laundering service,66,112,52,750,0.286957,3.079413,68,-2,0.290598,-0.003641,3.11044,-0.031027
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_log_sale,Compromised bank log sale or discussion,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,77,101,49,753,0.339207,3.364544,78,-1,0.337662,0.001545,3.371204,-0.00666
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_log_sale,Compromised bank log sale or discussion,email_access_takeover,Email-access-enabled account takeover,53,125,9,793,0.283422,4.706415,55,-2,0.287958,-0.004536,4.717119,-0.010704
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_log_sale,Compromised bank log sale or discussion,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",57,121,75,727,0.225296,2.377426,59,-2,0.229572,-0.004276,2.416803,-0.039377
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_log_sale,Compromised bank log sale or discussion,fullz_identity_package,Fullz or identity package,60,118,64,738,0.247934,2.664009,63,-3,0.255061,-0.007127,2.701623,-0.037614
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_log_sale,Compromised bank log sale or discussion,jurisdiction_localisation,Jurisdiction-specific bank or account reference,74,104,43,759,0.334842,3.482186,76,-2,0.336283,-0.001441,3.476374,0.005812
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_log_sale,Compromised bank log sale or discussion,mule_recruitment,Mule recruitment or account-holder solicitation,7,171,2,800,0.038889,4.282147,7,0,0.037838,0.001051,3.842308,0.439839
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_log_sale,Compromised bank log sale or discussion,telegram_off_platform,Telegram or private-channel coordination reference,24,154,58,744,0.101695,1.6114,27,-3,0.11157,-0.009875,1.703486,-0.092086
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_log_sale,Compromised bank log sale or discussion,tutorial_training_recruitment,"Tutorial, guide, or training content",62,116,42,760,0.281818,3.282195,65,-3,0.290179,-0.008361,3.334446,-0.052251
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,bank_log_sale,Compromised bank log sale or discussion,vulnerable_group_exploitation,Vulnerable group or migrant/student exploitation,0,178,0,802,0.0,0.0,0,0,0.0,0.0,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,cashout_laundering_service,Cash-out or laundering service,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,59,59,67,795,0.318919,3.888889,60,-1,0.320856,-0.001937,3.933071,-0.044182
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,cashout_laundering_service,Cash-out or laundering service,email_access_takeover,Email-access-enabled account takeover,15,103,47,815,0.090909,2.009295,17,-2,0.101796,-0.010887,2.211328,-0.202033
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,cashout_laundering_service,Cash-out or laundering service,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",35,83,97,765,0.162791,2.202106,37,-2,0.170507,-0.007716,2.298694,-0.096588
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,cashout_laundering_service,Cash-out or laundering service,fullz_identity_package,Fullz or identity package,34,84,90,772,0.163462,2.277201,36,-2,0.169811,-0.006349,2.341406,-0.064205
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,cashout_laundering_service,Cash-out or laundering service,jurisdiction_localisation,Jurisdiction-specific bank or account reference,33,85,84,778,0.163366,2.34246,35,-2,0.170732,-0.007366,2.428125,-0.085665
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,cashout_laundering_service,Cash-out or laundering service,mule_recruitment,Mule recruitment or account-holder solicitation,7,111,2,860,0.058333,6.45951,7,0,0.056911,0.001422,5.8275,0.63201
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,cashout_laundering_service,Cash-out or laundering service,telegram_off_platform,Telegram or private-channel coordination reference,39,79,43,819,0.242236,3.949979,41,-2,0.246988,-0.004752,3.923276,0.026703
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,cashout_laundering_service,Cash-out or laundering service,tutorial_training_recruitment,"Tutorial, guide, or training content",46,72,58,804,0.261364,3.673403,48,-2,0.268156,-0.006792,3.734579,-0.061176
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,cashout_laundering_service,Cash-out or laundering service,vulnerable_group_exploitation,Vulnerable group or migrant/student exploitation,0,118,0,862,0.0,0.0,0,0,0.0,0.0,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,email_access_takeover,Email-access-enabled account takeover,17,109,45,809,0.099415,2.132616,18,-1,0.104046,-0.004631,2.212352,-0.079736
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",56,70,76,778,0.277228,3.299663,57,-1,0.279412,-0.002184,3.346045,-0.046382
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,fullz_identity_package,Fullz or identity package,44,82,80,774,0.213592,2.759857,45,-1,0.214286,-0.000694,2.76544,-0.005583
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,jurisdiction_localisation,Jurisdiction-specific bank or account reference,35,91,82,772,0.168269,2.326686,36,-1,0.170616,-0.002347,2.359843,-0.033157
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,mule_recruitment,Mule recruitment or account-holder solicitation,7,119,2,852,0.054688,6.049383,7,0,0.053846,0.000842,5.506299,0.543084
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,telegram_off_platform,Telegram or private-channel coordination reference,34,92,48,806,0.195402,3.224932,35,-1,0.195531,-0.000129,3.16454,0.060392
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,tutorial_training_recruitment,"Tutorial, guide, or training content",44,82,60,794,0.236559,3.290598,45,-1,0.238095,-0.001536,3.30819,-0.017592
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,vulnerable_group_exploitation,Vulnerable group or migrant/student exploitation,0,126,0,854,0.0,0.0,0,0,0.0,0.0,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,email_access_takeover,Email-access-enabled account takeover,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",15,47,117,801,0.083799,1.796188,17,-2,0.093923,-0.010124,1.980294,-0.184106
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,email_access_takeover,Email-access-enabled account takeover,fullz_identity_package,Fullz or identity package,24,38,100,818,0.148148,3.059313,26,-2,0.156627,-0.008479,3.170654,-0.111341
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,email_access_takeover,Email-access-enabled account takeover,jurisdiction_localisation,Jurisdiction-specific bank or account reference,40,22,77,841,0.28777,5.403915,42,-2,0.295775,-0.008005,5.463281,-0.059366
