population,population_definition,source,source_denominator_n,markdown_present_n,ocr_present_n,markdown_and_ocr_present_n,neither_modality_present_n,code,label,source_positive_records_n,within_source_percent,all_sources_positive_records_n,source_share_of_positive_records
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,69,40,40,0,bank_drop_sale,Bank drop sale or bank-drop infrastructure,19,27.536,116,0.163793
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,69,40,40,0,bank_log_sale,Compromised bank log sale or discussion,15,21.739,178,0.08427
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,69,40,40,0,cashout_laundering_service,Cash-out or laundering service,10,14.493,118,0.084746
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,69,40,40,0,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,10,14.493,126,0.079365
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,69,40,40,0,email_access_takeover,Email-access-enabled account takeover,3,4.348,62,0.048387
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,69,40,40,0,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",22,31.884,121,0.181818
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,69,40,40,0,fullz_identity_package,Fullz or identity package,11,15.942,124,0.08871
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,69,40,40,0,jurisdiction_localisation,Jurisdiction-specific bank or account reference,17,24.638,117,0.145299
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,69,40,40,0,mule_recruitment,Mule recruitment or account-holder solicitation,2,2.899,9,0.222222
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,69,40,40,0,telegram_off_platform,Telegram or private-channel coordination reference,13,18.841,82,0.158537
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,69,40,40,0,tutorial_training_recruitment,"Tutorial, guide, or training content",17,24.638,104,0.163462
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,91,41,41,2,bank_drop_sale,Bank drop sale or bank-drop infrastructure,32,34.409,116,0.275862
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,91,41,41,2,bank_log_sale,Compromised bank log sale or discussion,29,31.183,178,0.162921
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,91,41,41,2,cashout_laundering_service,Cash-out or laundering service,9,9.677,118,0.076271
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,91,41,41,2,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,14,15.054,126,0.111111
