source,keyword,file_count,hit_count
(no_source),australia_nz,4,14
(no_source),bank_drop,5,18
(no_source),bank_log,4,16
(no_source),bec,4,13
(no_source),canada,0,0
(no_source),cashout,8,24
(no_source),crypto,2,16
(no_source),email_access,1,15
(no_source),escrow_trust,2,50
(no_source),fullz_identity,4,13
(no_source),mule,2,3
(no_source),scam_market_risk,2,18
(no_source),telegram,5,9
(no_source),tutorial_training,6,22
(no_source),usa,6,12
(no_source),vulnerable_groups,2,16
1. Dread,australia_nz,2,5
1. Dread,bank_drop,6,9
1. Dread,bank_log,6,16
1. Dread,bec,0,0
1. Dread,canada,3,4
1. Dread,cashout,7,12
1. Dread,crypto,3,10
1. Dread,email_access,2,5
1. Dread,escrow_trust,4,10
1. Dread,fullz_identity,1,1
1. Dread,mule,1,4
1. Dread,scam_market_risk,5,8
1. Dread,telegram,1,1
1. Dread,tutorial_training,4,9
1. Dread,usa,13,23
1. Dread,vulnerable_groups,0,0
10. Tor Shop,australia_nz,2,6
10. Tor Shop,bank_drop,15,46
10. Tor Shop,bank_log,3,6
10. Tor Shop,bec,0,0
10. Tor Shop,canada,0,0
10. Tor Shop,cashout,10,21
10. Tor Shop,crypto,5,9
10. Tor Shop,email_access,4,6
10. Tor Shop,escrow_trust,0,0
10. Tor Shop,fullz_identity,19,45
10. Tor Shop,mule,0,0
10. Tor Shop,scam_market_risk,2,3
10. Tor Shop,telegram,0,0
10. Tor Shop,tutorial_training,12,29
10. Tor Shop,usa,10,35
10. Tor Shop,vulnerable_groups,0,0
11. Legit Market,australia_nz,0,0
11. Legit Market,bank_drop,9,34
11. Legit Market,bank_log,11,56
11. Legit Market,bec,0,0
11. Legit Market,canada,1,8
11. Legit Market,cashout,5,22
11. Legit Market,crypto,4,6
11. Legit Market,email_access,3,4
11. Legit Market,escrow_trust,2,3
11. Legit Market,fullz_identity,2,3
11. Legit Market,mule,0,0
11. Legit Market,scam_market_risk,4,8
11. Legit Market,telegram,1,2
11. Legit Market,tutorial_training,3,9
11. Legit Market,usa,15,48
11. Legit Market,vulnerable_groups,0,0
12. TORCH Tor Search,australia_nz,0,0
12. TORCH Tor Search,bank_drop,0,0
12. TORCH Tor Search,bank_log,0,0
12. TORCH Tor Search,bec,0,0
12. TORCH Tor Search,canada,0,0
12. TORCH Tor Search,cashout,0,0
12. TORCH Tor Search,crypto,0,0
12. TORCH Tor Search,email_access,0,0
12. TORCH Tor Search,escrow_trust,0,0
12. TORCH Tor Search,fullz_identity,0,0
12. TORCH Tor Search,mule,0,0
12. TORCH Tor Search,scam_market_risk,0,0
12. TORCH Tor Search,telegram,0,0
12. TORCH Tor Search,tutorial_training,0,0
12. TORCH Tor Search,usa,0,0
12. TORCH Tor Search,vulnerable_groups,0,0
13. Bank Logs,australia_nz,0,0
13. Bank Logs,bank_drop,0,0
13. Bank Logs,bank_log,0,0
13. Bank Logs,bec,0,0
13. Bank Logs,canada,0,0
13. Bank Logs,cashout,0,0
13. Bank Logs,crypto,0,0
13. Bank Logs,email_access,0,0
13. Bank Logs,escrow_trust,0,0
13. Bank Logs,fullz_identity,0,0
13. Bank Logs,mule,0,0
13. Bank Logs,scam_market_risk,0,0
13. Bank Logs,telegram,0,0
13. Bank Logs,tutorial_training,0,0
13. Bank Logs,usa,0,0
13. Bank Logs,vulnerable_groups,0,0
14. Lonely Road,australia_nz,1,1
14. Lonely Road,bank_drop,0,0
14. Lonely Road,bank_log,0,0
14. Lonely Road,bec,0,0
14. Lonely Road,canada,0,0
14. Lonely Road,cashout,0,0
14. Lonely Road,crypto,0,0
14. Lonely Road,email_access,0,0
14. Lonely Road,escrow_trust,0,0
14. Lonely Road,fullz_identity,0,0
14. Lonely Road,mule,0,0
14. Lonely Road,scam_market_risk,0,0
14. Lonely Road,telegram,0,0
14. Lonely Road,tutorial_training,0,0
14. Lonely Road,usa,0,0
14. Lonely Road,vulnerable_groups,0,0
15. Tenebris,australia_nz,0,0
15. Tenebris,bank_drop,1,1
15. Tenebris,bank_log,3,14
15. Tenebris,bec,0,0
