source,note_count,dated_note_count,first_date,last_date,word_count,image_ref_count
1. Dread,69,68,2026-02-17,2026-05-10,6592,112
10. Tor Shop,93,93,2026-02-17,2026-05-20,6029,109
11. Legit Market,88,87,2026-02-22,2026-05-19,5135,53
12. TORCH Tor Search,58,44,2026-02-21,2026-04-07,57,8
13. Bank Logs,1,0,,,11,0
14. Lonely Road,4,3,2026-02-22,2026-05-05,125,7
15. Tenebris,8,5,2026-03-22,2026-06-24,3911,75
17. XmrBazaar,6,4,2026-06-21,2026-06-24,432,5
2. Altenen,72,71,2026-02-17,2026-05-10,5833,110
3. Pitch,90,88,2026-02-17,2026-05-15,12552,192
4. Caders Heven,77,76,2026-02-17,2026-05-16,751,62
5. CardPro,91,89,2026-02-19,2026-05-18,4582,119
6. The X Wave Market,90,89,2026-02-19,2026-05-18,7404,108
7. Meta Banklogs,92,91,2026-02-17,2026-05-18,8105,106
8. Secure ccSeller,94,93,2026-02-17,2026-05-19,695,24
9. Deep Shop,47,47,2026-02-17,2026-04-04,983,50
