currency,amount,mention_count
UNSPECIFIED_DOLLAR,150,29
UNSPECIFIED_DOLLAR,500,29
UNSPECIFIED_DOLLAR,200,27
UNSPECIFIED_DOLLAR,300,25
UNSPECIFIED_DOLLAR,400,24
UNSPECIFIED_DOLLAR,250,23
UNSPECIFIED_DOLLAR,350,19
UNSPECIFIED_DOLLAR,650,17
UNSPECIFIED_DOLLAR,550,15
UNSPECIFIED_DOLLAR,600,12
UNSPECIFIED_DOLLAR,170,11
UNSPECIFIED_DOLLAR,50,10
UNSPECIFIED_DOLLAR,10000,9
UNSPECIFIED_DOLLAR,20,9
UNSPECIFIED_DOLLAR,450,8
UNSPECIFIED_DOLLAR,800,7
UNSPECIFIED_DOLLAR,5000,7
UNSPECIFIED_DOLLAR,8500,7
UNSPECIFIED_DOLLAR,180,5
UNSPECIFIED_DOLLAR,120,5
UNSPECIFIED_DOLLAR,85,5
UNSPECIFIED_DOLLAR,850,5
UNSPECIFIED_DOLLAR,100,5
UNSPECIFIED_DOLLAR,1,5
UNSPECIFIED_DOLLAR,30,5
UNSPECIFIED_DOLLAR,2500,4
UNSPECIFIED_DOLLAR,290,4
UNSPECIFIED_DOLLAR,277,4
UNSPECIFIED_DOLLAR,2000,4
UNSPECIFIED_DOLLAR,1000,4
UNSPECIFIED_DOLLAR,90,4
UNSPECIFIED_DOLLAR,275,3
UNSPECIFIED_DOLLAR,316,3
UNSPECIFIED_DOLLAR,700,3
UNSPECIFIED_DOLLAR,199,3
UNSPECIFIED_DOLLAR,70000,3
UNSPECIFIED_DOLLAR,80,3
UNSPECIFIED_DOLLAR,35,3
UNSPECIFIED_DOLLAR,10,3
UNSPECIFIED_DOLLAR,25,3
UNSPECIFIED_DOLLAR,380,3
UNSPECIFIED_DOLLAR,580,3
UNSPECIFIED_DOLLAR,320,2
UNSPECIFIED_DOLLAR,13506,2
UNSPECIFIED_DOLLAR,1500,2
UNSPECIFIED_DOLLAR,30000,2
UNSPECIFIED_DOLLAR,3000,2
UNSPECIFIED_DOLLAR,50000,2
UNSPECIFIED_DOLLAR,3100,2
UNSPECIFIED_DOLLAR,2,2
