source,image_ref_count,ocr_ok_count,ocr_empty_count,ocr_error_count,ocr_not_local_or_not_processed_count,ocr_word_count
1. Dread,112,112,0,0,0,20567
10. Tor Shop,109,109,0,0,0,9350
11. Legit Market,53,53,0,0,0,4767
12. TORCH Tor Search,8,8,0,0,0,1345
14. Lonely Road,7,7,0,0,0,595
15. Tenebris,75,19,0,0,56,2640
17.  XmrBazaar,5,4,0,0,1,354
2. Altenen,110,110,0,0,0,18135
3. Pitch,192,161,0,0,31,33560
4. Caders Heven,62,62,0,0,0,6659
5. CardPro,119,119,0,0,0,13166
6. The X Wave Market,108,108,0,0,0,10931
7. Meta Banklogs,106,106,0,0,0,12970
8. Secure ccSeller,24,20,0,0,4,2454
9. Deep Shop,50,50,0,0,0,4683
