source,dominant_typology,dominant_typology_notes,top_typologies
(no_source),bank_drop_sale,5,bank_drop_sale (5 notes); telegram_off_platform (5 notes); bank_log_sale (4 notes); fullz_identity_package (4 notes); jurisdiction_localisation (3 notes)
1. Dread,escrow_trust_reputation,22,escrow_trust_reputation (22 notes); bank_drop_sale (19 notes); jurisdiction_localisation (17 notes); tutorial_training_recruitment (17 notes); bank_log_sale (15 notes)
10. Tor Shop,bank_drop_sale,32,bank_drop_sale (32 notes); bank_log_sale (29 notes); fullz_identity_package (24 notes); crypto_payment_or_conversion (14 notes); jurisdiction_localisation (13 notes)
11. Legit Market,escrow_trust_reputation,20,escrow_trust_reputation (20 notes); bank_log_sale (15 notes); jurisdiction_localisation (12 notes); bank_drop_sale (11 notes); crypto_payment_or_conversion (6 notes)
12. TORCH Tor Search,bank_drop_sale,2,bank_drop_sale (2 notes); bank_log_sale (2 notes)
14. Lonely Road,crypto_payment_or_conversion,3,crypto_payment_or_conversion (3 notes); bank_log_sale (1 notes); jurisdiction_localisation (1 notes)
15. Tenebris,crypto_payment_or_conversion,4,crypto_payment_or_conversion (4 notes); telegram_off_platform (4 notes); bank_log_sale (3 notes); cashout_laundering_service (3 notes); escrow_trust_reputation (3 notes)
17.  XmrBazaar,crypto_payment_or_conversion,2,crypto_payment_or_conversion (2 notes); bank_drop_sale (1 notes); escrow_trust_reputation (1 notes); tutorial_training_recruitment (1 notes)
2. Altenen,fullz_identity_package,19,fullz_identity_package (19 notes); tutorial_training_recruitment (19 notes); telegram_off_platform (18 notes); bank_log_sale (15 notes); crypto_payment_or_conversion (13 notes)
3. Pitch,escrow_trust_reputation,20,escrow_trust_reputation (20 notes); telegram_off_platform (20 notes); tutorial_training_recruitment (20 notes); crypto_payment_or_conversion (16 notes); bank_log_sale (15 notes)
4. Caders Heven,bank_log_sale,28,bank_log_sale (28 notes); crypto_payment_or_conversion (24 notes); cashout_laundering_service (22 notes); fullz_identity_package (12 notes); bank_drop_sale (6 notes)
5. CardPro,cashout_laundering_service,32,cashout_laundering_service (32 notes); telegram_off_platform (22 notes); jurisdiction_localisation (11 notes); crypto_payment_or_conversion (7 notes); bank_drop_sale (6 notes)
6. The X Wave Market,escrow_trust_reputation,41,escrow_trust_reputation (41 notes); fullz_identity_package (20 notes); cashout_laundering_service (10 notes); crypto_payment_or_conversion (10 notes); tutorial_training_recruitment (10 notes)
7. Meta Banklogs,jurisdiction_localisation,36,jurisdiction_localisation (36 notes); bank_log_sale (29 notes); email_access_takeover (21 notes); bank_drop_sale (14 notes); fullz_identity_package (12 notes)
8. Secure ccSeller,fullz_identity_package,6,fullz_identity_package (6 notes); jurisdiction_localisation (5 notes); bank_log_sale (4 notes); email_access_takeover (4 notes); tutorial_training_recruitment (4 notes)
9. Deep Shop,bank_log_sale,15,bank_log_sale (15 notes); escrow_trust_reputation (15 notes); crypto_payment_or_conversion (10 notes); cashout_laundering_service (4 notes); tutorial_training_recruitment (4 notes)
